Days	Within-host profile.Actual cases[a]	Within-host profile.Actual cases[b]	Within-host profile.Actual cases[c]	Within-host profile.Attack rate	Within-host profile.Attack rate by age[a]	Within-host profile.Attack rate by age[c]	Within-host profile.Attack rate by age[b]	Vaccines.Vaccination capacity	Tracing.Contact tracing capacity	Testing.Testing capacity	Mobility.Mobility index	Testing.Confirmed cases[a]	Testing.Confirmed cases[b]	Testing.Confirmed cases[c]	Within-host profile.Total cases[a]	Within-host profile.Total cases[b]	Within-host profile.Total cases[c]	Hospital.total in hospital[a]	Hospital.total in hospital[b]	Hospital.total in hospital[c]	Hospital.hospital admisions[a]	Hospital.hospital admisions[b]	Hospital.hospital admisions[c]	Hospital.hospital discharges[a]	Hospital.hospital discharges[b]	Hospital.hospital discharges[c]	Hospital.deaths in hospital[a]	Hospital.deaths in hospital[b]	Hospital.deaths in hospital[c]	Hospital Resources.Beds	Hospital Resources.occupied ward beds	Hospital.physical ward beds available	Hospital.expected beds freed	Hospital.Patients Waiting for Ward Bed[a]	Hospital.Patients Waiting for Ward Bed[b]	Hospital.Patients Waiting for Ward Bed[c]	Hospital.In Ward Overflow[a]	Hospital.In Ward Overflow[b]	Hospital.In Ward Overflow[c]	Hospital.physical ward beds needed	Hospital.physical ward beds gap	Hospital Resources.max available nurses	Hospital Resources.absent nurses	Hospital Resources.nurses at work	Hospital Resources.occupied nurses	Hospital Resources.available nurses	Hospital Resources.expected nurses freed	Hospital Resources.total nurses needed for incoming patients	Hospital Resources.nurses gap	Hospital Resources.extra staff needed for overflow patients	Hospital Resources.staffed ward beds available	Hospital Resources.staffed ward beds needed	Hospital Resources.staffed ward beds gap	Hospital Resources.ICU Beds	Hospital Resources.occupied ICU beds	Hospital.physical ICU beds available	Hospital.expected ICU beds freed	Hospital.Patients Waiting for ICU[a]	Hospital.Patients Waiting for ICU[b]	Hospital.Patients Waiting for ICU[c]	Hospital.In ICU Overflow[a]	Hospital.In ICU Overflow[b]	Hospital.In ICU Overflow[c]	Hospital.physical ICU beds needed	Hospital.physical ICU beds gap	Hospital Resources.max available ICU nurses	Hospital Resources.absent ICU nurses	Hospital Resources.ICU Nurses at work	Hospital Resources.occupied ICU nurses	Hospital Resources.available ICU nurses	Hospital Resources.expected ICU nurses freed	Hospital Resources.total ICU nurses needed for incoming patients	Hospital Resources.ICU nurses gap	Hospital Resources.max available physicians	Hospital Resources.absent physicians	Hospital Resources.physicians at work	Ventilators.ventilators in stock	Ventilators.ventilators in use	Ventilators.ventilators available	Ventilators.expected ventilators freed	Ventilators.ventilators needed for incoming ICU patients	Ventilators.gap in ventilators	Hospital Resources.staffed equipped ICU beds available	Hospital Resources.staffed equipped ICU beds needed	Hospital Resources.staffed equipped ICU beds gap	PPE.PPE	PPE.PPE needed	PPE.PPE gap	PPE.total PPE used	PPE.interrupted PPE supply	Hospital.In morgues	Hospital.In temporary morgues	Hospital.Antivirals administered[a]	Hospital.Antivirals administered[b]	Hospital.Antivirals administered[c]	Hospital.Previous vaccines administered[a]	Hospital.Previous vaccines administered[b]	Hospital.Previous vaccines administered[c]	Hospital.Total needed ICU[a]	Hospital.Total needed ICU[b]	Hospital.Total needed ICU[c]	Hospital.Total ICU admissions[a]	Hospital.Total ICU admissions[b]	Hospital.Total ICU admissions[c]	Hospital.Total needed Ward Bed[a]	Hospital.Total needed Ward Bed[b]	Hospital.Total needed Ward Bed[c]	Hospital.Total Ward admissions[a]	Hospital.Total Ward admissions[b]	Hospital.Total Ward admissions[c]	Hospital.Potential deaths due to lack of ICU[a]	Hospital.Potential deaths due to lack of ICU[b]	Hospital.Potential deaths due to lack of ICU[c]	Hospital.total deaths[a]	Hospital.total deaths[b]	Hospital.total deaths[c]	Hospital.Total Admissions[a]	Hospital.Total Admissions[b]	Hospital.Total Admissions[c]	Hospital Resources.total initial ward bed capacity	Hospital Resources.initial pandemic ward bed capacity	Hospital Resources.total initial ICU bed capacity	Hospital Resources.initial pandemic ICU bed capacity	Hospital Resources.stress code	Hospital.peak ICU demand	Hospital.peak demand ICU beds	Hospital.peak demand ICU nurses	Hospital.peak demand ventilators	Hospital.peak ward demand	Hospital.peak demand ward beds	Hospital.peak demand nurses	Hospital.peak demand PPE	Hospital Resources.activate surge strategy 1	Hospital Resources.activate surge strategy 2	PPE.activate surge strategy 3	Hospital Resources.activate surge strategy 4	Hospital.ICU admissions[a]	Hospital.ICU admissions[b]	Hospital.ICU admissions[c]	Hospital.ICU discharges[a]	Hospital.ICU discharges[b]	Hospital.ICU discharges[c]	Hospital.ward admissions[a]	Hospital.ward admissions[b]	Hospital.ward admissions[c]	Hospital.moving to ward overflow[a]	Hospital.moving to ward overflow[b]	Hospital.moving to ward overflow[c]	Hospital.moving to ICU overflow[a]	Hospital.moving to ICU overflow[b]	Hospital.moving to ICU overflow[c]	Hospital.at risk of dying from lack of ICU[a]	Hospital.at risk of dying from lack of ICU[b]	Hospital.at risk of dying from lack of ICU[c]	Hospital.deaths in ICU[a]	Hospital.deaths in ICU[b]	Hospital.deaths in ICU[c]	Hospital.deceased moved to morgue	Hospital.deceased moved to temporary morgues	Hospital Resources.pandemic ward demand factor	Hospital Resources.pandemic ICU demand factor	Hospital Resources.peak ward demand factor	Hospital Resources.peak ICU demand factor
0	0.52731561567	0.322341259226	0.146965104951	1.19354609048e-8	4.91039607451e-8	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251351.835	0	251351.835	0	0	0	0	0	0	0	0	0	209459.8625	0	209459.8625	0	209459.8625	0	0	0	0	251351.835	0	0	13824.350925	0	13824.350925	0	0	0	0	0	0	0	0	0	5027.0367	0	5027.0367	0	5027.0367	0	0	0	100540.734	0	100540.734	12567.59175	0	12567.59175	0	0	0	10054.0734	0	0	4000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502703.67	251351.835	20108.1468	10054.0734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0.514628541878	0.339178232326	0.165427885464	2.38750172938e-8	7.46960796298e-8	4.06837416883e-9	1.25939942982e-8	0	0	0	1	0	0	0	1.52118237503	0.326679345923	0.152481414857	0.000599528237983	0.00000831913267416	0.00000107893138823	0.00375224155835	0.000209129414042	0.0000272212288148	0.0000222232627069	1.31076121034e-7	1.04984774434e-8	0	7.42045652373e-9	2.03747878685e-10	251351.835	0.000123416533555	251351.834877	8.53329417064e-7	0.00047130972547	0.00000693340231582	9.17304663313e-7	0	0	0	0.000479160432449	0	209459.8625	0.0000202674921265	209459.86248	0.0000246833067111	209459.862455	1.70665883413e-7	0.0000958320864899	0	0	251351.834877	0.000479160432449	0	13824.350925	0.000001277104119	13824.3509237	9.52508196117e-9	0.00000476070429768	2.92739535676e-7	1.87880881989e-8	0	0	0	0.00000507223192155	0	5027.0367	4.86419811036e-7	5027.03669951	6.38552059498e-7	5027.03669888	4.76254098059e-9	0.00000253611596078	0	100540.734	0.0000389135848829	100540.733961	12567.59175	7.15178306638e-7	12567.5917493	5.33404589826e-9	0.00000284044987607	0	10054.0733978	0.00000507223192155	0	4034800.06579	0.000618450306106	0	0.000155912076515	0	8.74231987835e-11	0	0	0	0	0	0	0	0.00000603903240151	3.37707405192e-7	2.16799215572e-8	0.00000127832810383	4.49678695168e-8	2.89183335829e-9	0.000597912672526	0.00000800315784539	0.00000105867752867	0.000126602947056	0.00000106975552957	1.41372865362e-7	0	0	0	0	9.24200725462e-10	2.53499230968e-11	0.00220235754245	0.0000517105873609	0.00000671061820402	502703.67	251351.835	20108.1468	10054.0734	0	0.00000560183764717	0.00000560183764717	0.00000280091882358	0.00000313702908242	0.000534531215851	0.000534531215851	0.00010690624317	0.000548535809969	0	0	0	0	0.00000476070429768	2.92739535676e-7	1.87880881989e-8	2.45972665428e-7	1.66431953959e-9	1.57241560765e-10	0.00047130972547	0.00000693340231582	9.17304663313e-7	0	0	0	0	0	0	0	0	0	0	3.05125248925e-9	1.07210155067e-10	8.59549645004e-10	0	1.15412244747e-9	3.03279233638e-10	1.0633127382e-9	2.78585475971e-10
2	0.538385190426	0.412128854535	0.22493518067	3.67918900262e-8	1.00303169474e-7	9.16627186223e-9	2.68454086823e-8	0	0	0	1	0	0	0	2.042669633	0.696351002051	0.343549055351	0.00306242479811	0.000205306727338	0.0000270406069914	0.00493014504423	0.00119991811105	0.000160391766585	0.00020886455518	0.00000638078133308	5.22887446934e-7	0	3.6795167952e-7	1.01885021092e-8	251351.835	0.00120677313678	251351.833793	0.0000188008891686	0.00188314710241	0.000145544674818	0.0000195198950688	0	0	0	0.00204821167229	0	209459.8625	0.000112187756972	209459.862388	0.000241354627356	209459.862146	0.00000376017783372	0.000409642334459	0	0	251351.833793	0.00204821167229	0	13824.350925	0.0000139027423544	13824.3509111	2.1610058634e-7	0.0000190216879031	0.00000645748958688	4.05403518804e-7	0	0	0	0.0000258845810088	0	5027.0367	0.00000269250616734	5027.03669731	0.00000695137117719	5027.03669036	1.0805029317e-7	0.0000129422905044	0	100540.734	0.000215400493387	100540.733785	12567.59175	0.00000778553571845	12567.5917422	1.2101632835e-7	0.0000144953653649	0	10054.0733807	0.0000258845810088	0	4099432.67195	0.00335445311748	0	0.00191662460859	0	2.11507219269e-8	0	0	0	0	0	0	0	0.0000316059997588	0.00000878618852001	5.52790171761e-7	0.0000125843118557	0.00000232869893313	1.47386652956e-7	0.00313007733367	0.000199046388865	0.0000266564678117	0.00124693023127	0.0000535017140468	0.0000071365727429	0	0	0	0	1.0882945152e-7	3.00610062261e-9	0.00661560924916	0.000670416120244	0.0000884519919949	502703.67	251351.835	20108.1468	10054.0734	0	0.0000357314074685	0.0000357314074685	0.0000178657037342	0.0000200095881823	0.00293345993713	0.00293345993713	0.000586691987426	0.0030227884558	0	0	0	0	0.0000190216879031	0.00000645748958688	4.05403518804e-7	0.00000230019086169	8.46867100456e-8	7.89116779382e-9	0.00188314710241	0.000145544674818	0.0000195198950688	0	0	0	0	0	0	0	0	0	0	1.55258968417e-7	5.3803416776e-9	8.91467091009e-8	0	6.04232506214e-9	1.85168308566e-9	5.83536606591e-9	1.77696173714e-9
3	0.617001473994	0.538673121577	0.319423292072	5.24200085423e-8	1.2839645125e-7	1.6316259063e-8	4.49371737671e-8	0	0	0	1	0	0	0	2.61478808027	1.16563865175	0.611528380589	0.00674900038545	0.00110726898719	0.000149723179081	0.00560529147248	0.00297170492126	0.000414318711423	0.000611752741682	0.0000478728070206	0.00000404899589471	0	0.00000284147652373	7.94901885265e-8	251351.835	0.00380160914735	251351.831198	0.0000927689509934	0.0033173517637	0.0006738025694	0.0000926402107461	0	0	0	0.00408379454384	0	209459.8625	0.000273898875202	209459.862226	0.000760321829469	209459.861466	0.0000185537901987	0.000816758908768	0	0	251351.831198	0.00408379454384	0	13824.350925	0.0000527463296224	13824.3508723	0.00000113243600186	0.0000335086036737	0.0000323644519536	0.00000196947527535	0	0	0	0.0000678425309026	0	5027.0367	0.00000657357300485	5027.03669343	0.0000263731648112	5027.03666705	5.66218000928e-7	0.0000339212654513	0	100540.734	0.000525885840388	100540.733474	12567.59175	0.0000295379445885	12567.5917205	6.34164161039e-7	0.0000379918173055	0	10054.0733341	0.0000678425309026	0	4152359.96193	0.0081868758425	0	0.00744147410176	0	3.7477692722e-7	0	0	0	0	0	0	0	0.0000723536028079	0.0000514017028425	0.00000314651684177	0.0000388449991342	0.0000190372508889	0.00000117704156642	0.0071683517383	0.00108720349615	0.000148718032905	0.0038509999746	0.000413400926746	0.0000560778221587	0	0	0	0	0.00000137781375492	3.83685386283e-8	0.0118801404906	0.00266886369209	0.000361670090092	502703.67	251351.835	20108.1468	10054.0734	0	0.000108580205298	0.000108580205298	0.000054290102649	0.0000608049149668	0.00705338555449	0.00705338555449	0.0014106771109	0.00732483606773	0	0	0	0	0.0000335086036737	0.0000323644519536	0.00000196947527535	0.00000669998776481	6.7948161257e-7	6.19784621401e-8	0.0033173517637	0.0006738025694	0.0000926402107461	0	0	0	0	0	0	0	0	0	0	0.00000124571628971	4.22580423683e-8	9.96293150041e-7	0	1.43391527776e-8	5.5628914721e-9	1.40309012554e-8	5.39981164738e-9
4	0.745543526082	0.714485862147	0.447286455952	7.23916990408e-8	1.61552126551e-7	2.64135781985e-8	6.88255911056e-8	0	0	0	1	0	0	0	3.29000194892	1.78528738006	0.989972801911	0.010957391611	0.00333771273614	0.000467494665482	0.00634778977007	0.00543321803339	0.000797068212498	0.00116279757758	0.000175829543187	0.0000154698482511	0	0.0000108318543297	3.06886001157e-7	251351.835	0.00800828766554	251351.826992	0.000261453164379	0.00445371098812	0.00176528233392	0.000251331437675	0	0	0	0.00647032475971	0	209459.8625	0.000502509657587	209459.861997	0.00160165753311	209459.860396	0.0000522906328759	0.00129406495194	0	0	251351.826992	0.00647032475971	0	13824.350925	0.000140000777649	13824.350785	0.00000349882155282	0.000044986979678	0.0000934904995273	0.00000550833051286	0	0	0	0.000143985809718	0	5027.0367	0.0000120602317821	5027.03668794	0.0000700003888243	5027.03661794	0.00000174941077641	0.0000719929048591	0	100540.734	0.000964818542567	100540.733035	12567.59175	0.0000784004354832	12567.5916716	0.00000195934006958	0.0000806320534422	0	10054.0732359	0.000143985809718	0	4190219.52067	0.0151885788937	0	0.0188240219769	0	0.00000246242835784	0	0	0	0	0	0	0	0.000123134303393	0.000170942507678	0.0000101745792099	0.0000781473237149	0.0000774520081505	0.00000466624869704	0.0122051363931	0.00333201479394	0.000468937663444	0.00775142540498	0.00156673246002	0.000217606225769	0	0	0	0	0.00000745753914045	2.09692137638e-7	0.0178301665817	0.00677612301243	0.000949907569642	502703.67	251351.835	20108.1468	10054.0734	0	0.000256899153469	0.000256899153469	0.000128449576735	0.000143863525943	0.0128627153101	0.0128627153101	0.00257254306203	0.0135049631938	0	0	0	0	0.000044986979678	0.0000934904995273	0.00000550833051286	0.0000126613933026	0.0000027113833946	2.41463967046e-7	0.00445371098812	0.00176528233392	0.000251331437675	0	0	0	0	0	0	0	0	0	0	0.00000497086955677	1.64634522986e-7	0.00000478087894233	0	2.6008406819e-8	1.30910543493e-8	2.5587072619e-8	1.2775874178e-8
5	0.924463262726	0.944862701685	0.61386764964	9.83305613661e-8	2.02199565729e-7	4.04048365621e-8	1.00479836306e-7	0	0	0	1	0	0	0	4.11778525929	2.60637621597	1.51436087006	0.0154220697068	0.00746918592001	0.00109036108643	0.00732104726745	0.00861684123382	0.00133256877658	0.0017942279105	0.000447148088604	0.0000411754118862	0	0.0000287533093222	8.27123353314e-7	251351.835	0.0139944437084	251351.821006	0.000557076776171	0.00540212826638	0.00348577821576	0.000517652652844	0	0	0	0.00940555913499	0	209459.8625	0.000808776489336	209459.861691	0.00279888874168	209459.858892	0.000111415355234	0.001881111827	0	0	251351.821006	0.00940555913499	0	13824.350925	0.000310511831016	13824.3506145	0.0000083919084703	0.0000545669521856	0.000204792114899	0.0000117429717374	0	0	0	0.000271102038822	0	5027.0367	0.0000194106357441	5027.03668059	0.000155255915508	5027.03652533	0.00000419595423515	0.000135551019411	0	100540.734	0.00155285085953	100540.732447	12567.59175	0.000173886625369	12567.5915761	0.00000469946874337	0.00015181714174	0	10054.0730507	0.000271102038822	0	4217299.68377	0.024854037518	0	0.038443420975	0	0.00000964923810422	0	0	0	0	0	0	0	0.000182418752801	0.000424844117199	0.0000246819535532	0.000127851800616	0.0002200520023	0.0000129389818158	0.0180901873475	0.00760201991704	0.00110619131278	0.0126880590811	0.00411624170128	0.000588538659933	0	0	0	0	0.0000259421826098	7.37804801945e-7	0.0246265151608	0.0136866237798	0.00199224254816	502703.67	251351.835	20108.1468	10054.0734	0	0.000528571883677	0.000528571883677	0.000264285941838	0.000296000254859	0.0207055319424	0.0207055319424	0.00414110638848	0.0220269616516	0	0	0	0	0.0000545669521856	0.000204792114899	0.0000117429717374	0.0000194241960938	0.00000755365801931	6.5779835176e-7	0.00540212826638	0.00348577821576	0.000517652652844	0	0	0	0	0	0	0	0	0	0	0.0000138483730354	4.484988762e-7	0.0000148345044226	0	4.17525408599e-8	2.68389399992e-8	4.1188344502e-8	2.62864543876e-8
6	1.16184552081	1.24288730004	0.829405992167	1.32115077544e-7	2.52976312923e-7	5.94460909733e-8	1.42226283595e-7	0	0	0	1	0	0	0	5.15185148172	3.68924966916	2.22802123973	0.0201715486782	0.0140408183657	0.00214325151503	0.00860732098119	0.0126716940844	0.0020593136617	0.0024771456545	0.000915914336046	0.0000886163447935	0	0.0000616576153003	0.00000180486754097	251351.835	0.022133167052	251351.812867	0.00101155962675	0.00634975175785	0.00587902894129	0.000913820204703	0	0	0	0.0131426009038	0	209459.8625	0.00121319468242	209459.861287	0.0044266334104	209459.85686	0.000202311925349	0.00262852018077	0	0	251351.812867	0.0131426009038	0	13824.350925	0.000612515399251	13824.3503125	0.0000174437153087	0.000064138906645	0.000381716373344	0.0000214799237392	0	0	0	0.000467335203728	0	5027.0367	0.0000291166723781	5027.03667088	0.000306257699625	5027.03636463	0.00000872185765435	0.000233667601864	0	100540.734	0.00232933379025	100540.731671	12567.59175	0.00034300862358	12567.591407	0.00000976848057287	0.000261707714088	0	10054.0727293	0.000467335203728	0	4236669.55841	0.0379753944633	0	0.0693259020706	0	0.0000276938166075	0	0	0	0	0	0	0	0.00025112299731	0.000886113269166	0.0000505481217908	0.000186984090665	0.000504396895823	0.0000290681980516	0.0249148039104	0.0145932891499	0.00220102319535	0.0185650521525	0.00871426020857	0.00128720299064	0	0	0	0	0.0000691591870862	0.00000199272342932	0.032541215724	0.0241862650252	0.00365895737955	502703.67	251351.835	20108.1468	10054.0734	0	0.000984634960283	0.000984634960283	0.000492317480142	0.000551395577759	0.0311537177464	0.0311537177464	0.00623074354928	0.0336153051471	0	0	0	0	0.000064138906645	0.000381716373344	0.0000214799237392	0.0000266713827853	0.0000169784385993	0.00000145200674716	0.00634975175785	0.00587902894129	0.000913820204703	0	0	0	0	0	0	0	0	0	0	0.0000311271374321	9.90004600338e-7	0.0000355348275088	0	6.27206589559e-8	4.98619610642e-8	6.19723300337e-8	4.8966966975e-8
7	1.47216898215	1.62790531088	1.10818484308	1.76096874098e-7	3.17073055909e-7	8.50191451393e-8	1.97014619163e-7	0	0	0	1	0	0	0	6.45717883237	5.1104205228	3.18649145894	0.0253902463974	0.0236400844823	0.00377579187804	0.0102946964076	0.0178390926627	0.00302922524306	0.00321643458437	0.00163542371842	0.000166504757038	0	0.000115304184898	0.00000344029593172	251351.835	0.0329938433886	251351.802006	0.00166310104087	0.00745226686124	0.00903088237707	0.00146907578156	0	0	0	0.0179522250199	0	209459.8625	0.00174365712626	209459.860756	0.00659876867772	209459.854158	0.000332620208173	0.00359044500397	0	0	251351.802006	0.0179522250199	0	13824.350925	0.00110744543983	13824.3498176	0.0000330315902929	0.0000752754228408	0.000641593289459	0.0000357401971456	0	0	0	0.000752608909445	0	5027.0367	0.0000418477710303	5027.03665815	0.000553722719917	5027.03610443	0.0000165157951464	0.000376304454723	0	100540.734	0.00334782168243	100540.730652	12567.59175	0.000620169446307	12567.5911298	0.000018497690564	0.000421460989289	0	10054.0722089	0.000752608909445	0	4250524.41293	0.0555962042817	0	0.115411257653	0	0.0000648041022717	0	0	0	0	0	0	0	0.000331606807058	0.0016458798784	0.0000927692732144	0.000256331384217	0.00100428658894	0.0000570290760688	0.0329130913837	0.0251065455894	0.00392638066618	0.0254608245224	0.0160756632124	0.00245730488462	0	0	0	0	0.000154811198734	0.00000452551913355	0.0419281359593	0.0392559913315	0.00616528571623	502703.67	251351.835	20108.1468	10054.0734	0	0.00169948838929	0.00169948838929	0.000849744194646	0.000951713498003	0.0449591389369	0.0449591389369	0.00899182778739	0.0492078599102	0	0	0	0	0.0000752754228408	0.000641593289459	0.0000357401971456	0.0000344627798609	0.0000331582150638	0.00000280018596892	0.00745226686124	0.00903088237707	0.00146907578156	0	0	0	0	0	0	0	0	0	0	0.0000607900609502	0.00000190921770608	0.0000720506060795	0	9.04200942084e-8	8.5882299692e-8	8.94346741828e-8	8.45174051192e-8
8	1.87591921428	2.12567775758	1.46890695631	2.33297282813e-7	3.98533439881e-7	1.19042218362e-7	2.6865744336e-7	0	0	0	1	0	0	0	8.1161159677	6.96878494592	4.46166579823	0.0313562549989	0.0369880089508	0.00617346733282	0.0124993909083	0.0244483211886	0.00430972202848	0.00403933421546	0.00266505605995	0.000285365263886	0	0.00019648637044	0.00000598128743421	251351.835	0.0473416568497	251351.787658	0.00256097492318	0.00883516201509	0.0130965505658	0.00222322785259	0	0	0	0.0241549404335	0	209459.8625	0.00243612107766	209459.860064	0.00946833136995	209459.850596	0.000512194984636	0.0048309880867	0	0	251351.787658	0.0241549404335	0	13824.350925	0.00187087228953	13824.3490541	0.0000584285262605	0.0000892440607585	0.00100517472804	0.0000558429209265	0	0	0	0.00115026170972	0	5027.0367	0.0000584669058638	5027.03664153	0.000935436144764	5027.0357061	0.0000292142631303	0.000575130854862	0	100540.734	0.0046773524691	100540.729323	12567.59175	0.00104768848214	12567.5907023	0.0000327199747059	0.000644146557446	0	10054.0714122	0.00115026170972	0	4260434.47595	0.0790494322814	0	0.181817504191	0	0.000131633545728	0	0	0	0	0	0	0	0.000427331835742	0.00281754369734	0.000157798853543	0.000338087774984	0.0018123689693	0.000101955932617	0.0424284287754	0.0401324556416	0.00650011313814	0.0335932667603	0.0270359050758	0.00427688528555	0	0	0	0	0.000306827447764	0.00000910935906814	0.05324190844	0.0601601715511	0.0097856055706	502703.67	251351.835	20108.1468	10054.0734	0	0.00276336681803	0.00276336681803	0.00138168340901	0.0015474854181	0.0630856262187	0.0630856262187	0.0126171252437	0.0699940432638	0	0	0	0	0.0000892440607585	0.00100517472804	0.0000558429209265	0.0000431021476077	0.0000587188191502	0.0000049239505783	0.00883516201509	0.0130965505658	0.00222322785259	0	0	0	0	0	0	0	0	0	0	0.000107651168442	0.00000335723903066	0.000130424414215	0	1.26783242334e-7	1.39415168505e-7	1.25492670898e-7	1.37425235926e-7
9	2.40030553307	2.7697085909	1.93580012316	3.07624114035e-7	5.02562134258e-7	1.64000887584e-7	3.62099387013e-7	0	0	0	1	0	0	0	10.2346557514	9.39260318114	6.14670291839	0.0384281149999	0.0550172962291	0.00957013805923	0.0153747653526	0.0329304418766	0.00598811460123	0.00498868205293	0.00407812384356	0.000458253583223	0	0.000313490396094	0.00000973936339837	251351.835	0.0661727898159	251351.768827	0.00376965205951	0.0106178173148	0.0183112320264	0.00322925621033	0	0	0	0.0321583055515	0	209459.8625	0.00333696744455	209459.859163	0.0132345579632	209459.845928	0.000753930411902	0.0064316611103	0	0	251351.768827	0.0321583055515	0	13824.350925	0.00299523151685	13824.3479298	0.0000979513117429	0.000107250679948	0.00149848531407	0.0000834864100423	0	0	0	0.00168922240406	0	5027.0367	0.0000800872186692	5027.03661991	0.00149761575843	5027.0351223	0.0000489756558714	0.00084461120203	0	100540.734	0.00640697749353	100540.727593	12567.59175	0.00167732964944	12567.5900727	0.000054852734576	0.000945964546273	0	10054.0702446	0.00168922240406	0	4267522.8972	0.11004223017	0	0.275168414019	0	0.000241449297179	0	0	0	0	0	0	0	0.000542915469852	0.00454291391833	0.000253964776551	0.000435664789904	0.00304442860427	0.000170478366509	0.0539190005912	0.0609378178843	0.0101994496642	0.0433011832764	0.0426265858579	0.00697019345382	0	0	0	0	0.000556611017136	0.0000167946450202	0.0670707011619	0.0885400242326	0.0148709074143	502703.67	251351.835	20108.1468	10054.0734	0	0.00428692833952	0.00428692833952	0.00214346416976	0.00240067987013	0.0867766408812	0.0867766408812	0.0173553281762	0.09749396173	0	0	0	0	0.000107250679948	0.00149848531407	0.0000834864100423	0.0000530591428102	0.0000968470552593	0.00000810412144042	0.0106178173148	0.0183112320264	0.00322925621033	0	0	0	0	0	0	0	0	0	0	0.000177552934642	0.00000552553734574	0.000217871271474	0	1.74303672073e-7	2.16000269573e-7	1.72619867448e-7	2.13193606659e-7
10	3.08082487554	3.60339150898	2.54023336756	4.04139092744e-7	6.35889107773e-7	2.23115317631e-7	4.83753306558e-7	0	0	0	1	0	0	0	12.9498537007	12.5482202098	8.36229360839	0.0470563724521	0.0789514495173	0.0142633120976	0.0191205385876	0.0438447356883	0.00817772533462	0.00612116009762	0.00596965521594	0.000701626061061	0	0.000476665008357	0.0000151094823937	251351.835	0.090778636412	251351.744221	0.0053734147005	0.0129345980775	0.0250002271807	0.00455657067981	0	0	0	0.042491395938	0	209459.8625	0.00450632794407	209459.857994	0.0181557272824	209459.839838	0.0010746829401	0.0084982791876	0	0	251351.744221	0.042491395938	0	13824.350925	0.00459454555115	13824.3463305	0.000157148744182	0.000130652505833	0.00215504968308	0.000120853977038	0	0	0	0.00240655616596	0	5027.0367	0.000108151870658	5027.03659185	0.00229727277558	5027.03429458	0.0000785743720909	0.00120327808298	0	100540.734	0.00865214965262	100540.725348	12567.59175	0.00257294550864	12567.5891771	0.0000880032967418	0.00134767145294	0	10054.0685892	0.00240655616596	0	4272593.03909	0.150772786643	0	0.404021727799	0	0.000410577380606	0	0	0	0	0	0	0	0.000684390411574	0.00700075488988	0.000392002964672	0.000553737905741	0.00484570520679	0.000271148987634	0.0679836473196	0.089160837146	0.0153789839583	0.0550490492422	0.0641606099653	0.0108224132784	0	0	0	0	0.000944797639644	0.0000289818725975	0.0841776096097	0.126527286618	0.0218715131432	502703.67	251351.835	20108.1468	10054.0734	0	0.0064079664351	0.0064079664351	0.00320398321755	0.00358846120366	0.117644143325	0.117644143325	0.023528828665	0.133664059413	0	0	0	0	0.000130652505833	0.00215504968308	0.000120853977038	0.0000649482663811	0.000151459909723	0.0000126980311317	0.0129345980775	0.0250002271807	0.00455657067981	0	0	0	0	0	0	0	0	0	0	0.000277676501158	0.00000865774849891	0.000343230430077	0	2.36214186091e-7	3.22538985055e-7	2.34022845557e-7	3.1867513694e-7
