Days	Contacts	Infected	Infectious Duration	Infectivity	IR	N	Removed	RR	Susceptible
17.125	10	112.673243531	2	0.2	4.03682926426	10000	9708.18798591	56.3366217653	179.138770562
17.25	10	106.135769468	2	0.2	3.79189495152	10000	9715.23006363	53.067884734	178.634166904
17.375	10	99.9762707452	2	0.2	3.56235807903	10000	9721.86354922	49.9881353726	178.160180035
17.5	10	94.1730485835	2	0.2	3.347190505	10000	9728.11206614	47.0865242918	177.714885275
17.625	10	88.7056318602	2	0.2	3.14543937164	10000	9733.99788168	44.3528159301	177.296486462
17.75	10	83.5547097904	2	0.2	2.95622088779	10000	9739.54198367	41.7773548952	176.90330654
17.875	10	78.7020680395	2	0.2	2.77871469611	10000	9744.76415303	39.3510340197	176.533778929
18	10	74.130528124	2	0.2	2.61215876305	10000	9749.68303228	37.065264062	176.186439592
18.125	10	69.8238899616	2	0.2	2.45584473701	10000	9754.31619029	34.9119449808	175.859919747
18.25	10	65.7668774312	2	0.2	2.30911372641	10000	9758.68018341	32.8834387156	175.552939155
18.375	10	61.9450868075	2	0.2	2.1713524548	10000	9762.79061325	30.9725434038	175.264299939
18.5	10	58.3449379389	2	0.2	2.04198975496	10000	9766.66218118	29.1724689694	174.992880882
18.625	10	54.9536280371	2	0.2	1.92049336839	10000	9770.3087398	27.4768140185	174.737632163
18.75	10	51.7590879558	2	0.2	1.80636701983	10000	9773.74334155	25.8795439779	174.497570492
18.875	10	48.7499408361	2	0.2	1.69914774037	10000	9776.97828455	24.374970418	174.271774614
19	10	45.9154630013	2	0.2	1.59840341502	10000	9780.02515585	22.9577315007	174.059381147
19.125	10	43.2455469906	2	0.2	1.50373053356	10000	9782.89487229	21.6227734953	173.85958072
19.25	10	40.7306666204	2	0.2	1.41475212554	10000	9785.59771898	20.3653333102	173.671614403
19.375	10	38.3618439723	2	0.2	1.33111586232	10000	9788.14338564	19.1809219862	173.494770387
19.5	10	36.1306182069	2	0.2	1.25249231098	10000	9790.54100089	18.0653091034	173.328380905
19.625	10	34.0290161078	2	0.2	1.17857332612	10000	9792.79916453	17.0145080539	173.171819366
19.75	10	32.0495242668	2	0.2	1.10907056756	10000	9794.92597803	16.0247621334	173.0244977
19.875	10	30.1850628211	2	0.2	1.04371413241	10000	9796.9290733	15.0925314105	172.885863879
20	10	28.4289606613	2	0.2	0.982251291923	10000	9798.81563973	14.2144803307	172.755399613
20.125	10	26.7749320315	2	0.2	0.92444532375	10000	9800.59244977	13.3874660157	172.632618201
20.25	10	25.217054445	2	0.2	0.87007443173	10000	9802.26588302	12.6085272225	172.517062536
20.375	10	23.7497478461	2	0.2	0.818930745666	10000	9803.84194892	11.8748739231	172.408303232
20.5	10	22.367754949	2	0.2	0.770819394514	10000	9805.32630816	11.1838774745	172.305936888
20.625	10	21.066122689	2	0.2	0.725557646907	10000	9806.72429285	10.5330613445	172.209584464
20.75	10	19.8401847268	2	0.2	0.682974113554	10000	9808.04092552	9.92009236339	172.118889758
20.875	10	18.6855449455	2	0.2	0.642908006523	10000	9809.28093706	9.34277247277	172.033517994
21	10	17.5980618873	2	0.2	0.605208450896	10000	9810.44878362	8.79903094363	171.953154493
21.125	10	16.5738340757	2	0.2	0.56973384466	10000	9811.54866249	8.28691703784	171.877503437
21.25	10	15.6091861765	2	0.2	0.536351263099	10000	9812.58452712	7.80459308826	171.806286706
21.375	10	14.7006559484	2	0.2	0.504935904243	10000	9813.56010125	7.35032797419	171.739242798
21.5	10	13.8449819396	2	0.2	0.475370572262	10000	9814.47889225	6.92249096982	171.67612581
21.625	10	13.0390918899	2	0.2	0.447545195936	10000	9815.34420362	6.51954594497	171.616704489
21.75	10	12.2800917963	2	0.2	0.421356379578	10000	9816.15914686	6.14004589816	171.560761339
21.875	10	11.5652556065	2	0.2	0.396706984031	10000	9816.9266526	5.78262780324	171.508091792
22	10	10.8920155041	2	0.2	0.373505735509	10000	9817.64948108	5.44600775204	171.458503419
22.125	10	10.257952752	2	0.2	0.351666860296	10000	9818.33023205	5.12897637601	171.411815202
22.25	10	9.66078906256	2	0.2	0.331109743415	10000	9818.97135409	4.83039453128	171.367856844
22.375	10	9.09837846407	2	0.2	0.311758609585	10000	9819.57515341	4.54918923204	171.326468126
22.5	10	8.56869963627	2	0.2	0.293542224876	10000	9820.14380206	4.28434981813	171.2874983
22.625	10	8.06984868711	2	0.2	0.276393617622	10000	9820.67934579	4.03492434355	171.250805522
22.75	10	7.60003234637	2	0.2	0.260249817251	10000	9821.18371133	3.80001617318	171.21625632
22.875	10	7.15756155188	2	0.2	0.245051609806	10000	9821.65871336	3.57878077594	171.183725093
23	10	6.74084540611	2	0.2	0.230743309003	10000	9822.10606095	3.37042270305	171.153093642
23.125	10	6.34838548185	2	0.2	0.217272541783	10000	9822.52736379	3.17419274093	171.124250728
23.25	10	5.97877045696	2	0.2	0.204590047378	10000	9822.92413788	2.98938522848	171.09709166
23.375	10	5.63067105932	2	0.2	0.192649488988	10000	9823.29781104	2.81533552966	171.071517904
23.5	10	5.30283530424	2	0.2	0.181407277226	10000	9823.64972798	2.65141765212	171.047436718
23.625	10	4.99408400738	2	0.2	0.170822404564	10000	9823.98115518	2.49704200369	171.024760809
23.75	10	4.70330655749	2	0.2	0.160856290047	10000	9824.29328543	2.35165327874	171.003408008
23.875	10	4.4294569339	2	0.2	0.151472633614	10000	9824.58724209	2.21472846695	170.983300972
24	10	4.17154995473	2	0.2	0.142637279394	10000	9824.86408315	2.08577497737	170.964366892
24.125	10	3.92865774249	2	0.2	0.13431808741	10000	9825.12480502	1.96432887124	170.946537233
24.25	10	3.69990639451	2	0.2	0.126484813136	10000	9825.37034613	1.84995319725	170.929747472
24.375	10	3.48447284649	2	0.2	0.119108994422	10000	9825.60159028	1.74223642325	170.91393687
24.5	10	3.28158191789	2	0.2	0.112163845301	10000	9825.81936984	1.64079095894	170.899048246
24.625	10	3.09050352868	2	0.2	0.105624156261	10000	9826.02446871	1.54525176434	170.885027765
24.75	10	2.91055007767	2	0.2	0.099466200557	10000	9826.21762518	1.45527503884	170.871824745
24.875	10	2.74107397289	2	0.2	0.0936676461966	10000	9826.39953456	1.37053698644	170.85939147
25	10	2.58146530536	2	0.2	0.0882074732406	10000	9826.57085168	1.29073265268	170.847683015
25.125	10	2.43114965793	2	0.2	0.0830658960846	10000	9826.73219326	1.21557482896	170.83665708
25.25	10	2.28958604132	2	0.2	0.0782242904165	10000	9826.88414012	1.14479302066	170.826273843
25.375	10	2.15626495004	2	0.2	0.0736651245595	10000	9827.02723924	1.07813247502	170.816495807
25.5	10	2.03070653123	2	0.2	0.0693718949293	10000	9827.1620058	1.01535326562	170.807287667
25.625	10	1.91245885989	2	0.2	0.0653290653541	10000	9827.28892496	0.956229429947	170.79861618
25.75	10	1.80109631432	2	0.2	0.06152201002	10000	9827.40845364	0.90054815716	170.790450047
25.875	10	1.69621804593	2	0.2	0.0579369598196	10000	9827.52102216	0.848109022964	170.782759795
26	10	1.59744653803	2	0.2	0.0545609518983	10000	9827.62703579	0.798723269017	170.775517675
26.125	10	1.50442624839	2	0.2	0.0513817822016	10000	9827.7268762	0.752213124197	170.768697556
26.25	10	1.41682233065	2	0.2	0.0483879608432	10000	9827.82090284	0.708411165323	170.762274834
26.375	10	1.33431943009	2	0.2	0.0455686701223	10000	9827.90945423	0.667159715043	170.756226338
26.5	10	1.25662054947	2	0.2	0.0429137250302	10000	9827.9928492	0.628310274735	170.750530255
26.625	10	1.18344598076	2	0.2	0.0404135360965	10000	9828.07138798	0.591722990379	170.745166039
26.75	10	1.11453229897	2	0.2	0.038059074434	10000	9828.14535335	0.557266149486	170.740114347
26.875	10	1.04963141459	2	0.2	0.0358418388499	10000	9828.21501162	0.524815707295	170.735356963
27	10	0.988509681035	2	0.2	0.0337538249004	10000	9828.28061359	0.494254840517	170.730876733
27.125	10	0.930947054083	2	0.2	0.0317874957715	10000	9828.34239544	0.465473527041	170.726657505
27.25	10	0.876736300174	2	0.2	0.0299357548771	10000	9828.40057963	0.438368150087	170.722684068
27.375	10	0.825682250773	2	0.2	0.0281919200723	10000	9828.45537565	0.412841125386	170.718942098
27.5	10	0.777601100109	2	0.2	0.0265496993853	10000	9828.50698079	0.388800550054	170.715418108
27.625	10	0.732319743775	2	0.2	0.0250031681778	10000	9828.55558086	0.366159871887	170.712099396
27.75	10	0.689675155811	2	0.2	0.0235467476484	10000	9828.60135084	0.344837577906	170.708974
27.875	10	0.649513802029	2	0.2	0.0221751846002	10000	9828.64445554	0.324756901015	170.706030657
28	10	0.611691087477	2	0.2	0.0208835323972	10000	9828.68505015	0.305845543739	170.703258758
28.125	10	0.57607083606	2	0.2	0.0196671330384	10000	9828.72328085	0.28803541803	170.700648317
28.25	10	0.542524800436	2	0.2	0.0185216002848	10000	9828.75928527	0.271262400218	170.698189925
28.375	10	0.510932200444	2	0.2	0.017442803776	10000	9828.79319307	0.255466100222	170.695874725
28.5	10	0.481179288388	2	0.2	0.0164268540783	10000	9828.82512634	0.240589644194	170.693694375
28.625	10	0.453158939624	2	0.2	0.0154700886093	10000	9828.85520004	0.226579469812	170.691641018
28.75	10	0.426770266973	2	0.2	0.0145690583871	10000	9828.88352248	0.213385133487	170.689707257
28.875	10	0.401918257586	2	0.2	0.0137205155565	10000	9828.91019562	0.200959128793	170.687886125
29	10	0.378513430931	2	0.2	0.0129214016441	10000	9828.93531551	0.189256715466	170.68617106
29.125	10	0.356471516704	2	0.2	0.0121688365028	10000	9828.9589726	0.178235758352	170.684555885
29.25	10	0.335713151473	2	0.2	0.0114601079018	10000	9828.98125207	0.167856575736	170.68303478
29.375	10	0.316163592993	2	0.2	0.0107926617261	10000	9829.00223414	0.158081796497	170.681602267
29.5	10	0.297752451147	2	0.2	0.0101640927496	10000	9829.02199436	0.148876225573	170.680253184
29.625	10	0.280413434544	2	0.2	0.00957213594714	10000	9829.04060389	0.140206717272	170.678982673
29.75	10	0.264084111878	2	0.2	0.00901465831486	10000	9829.05812973	0.132042055939	170.677786156
29.875	10	0.248705687175	2	0.2	0.00848965116836	10000	9829.07463499	0.124352843588	170.676659323
30	10	0.234222788123	2	0.2	0.0079952228911	10000	9829.09017909	0.117111394061	170.675598117
30.125	10	0.220583266727	2	0.2	0.00752959210632	10000	9829.10481802	0.110291633363	170.674598714
30.25	10	0.20773801157	2	0.2	0.0070910812479	10000	9829.11860447	0.103869005785	170.673657515
30.375	10	0.195640771002	2	0.2	0.0066781105066	10000	9829.1315881	0.0978203855012	170.67277113
30.5	10	0.184247986628	2	0.2	0.00628919212987	10000	9829.14381565	0.092123993314	170.671936366
30.625	10	0.17351863648	2	0.2	0.00592292505443	10000	9829.15533115	0.08675931824	170.671150217
30.75	10	0.163414087332	2	0.2	0.00557798985209	10000	9829.16617606	0.0817070436659	170.670409851
30.875	10	0.153897955605	2	0.2	0.00525314397066	10000	9829.17638944	0.0769489778026	170.669712603
31	10	0.144935976376	2	0.2	0.00494721725254	10000	9829.18600806	0.0724679881881	170.66905596
31.125	10	0.136495880009	2	0.2	0.00465910771484	10000	9829.19506656	0.0682479400046	170.668437558
31.25	10	0.128547275973	2	0.2	0.00438777757563	10000	9829.20359755	0.0642736379865	170.667855169
31.375	10	0.121061543422	2	0.2	0.00413224951207	10000	9829.21163176	0.0605307717108	170.667306697
31.5	10	0.114011728147	2	0.2	0.00389160313681	10000	9829.21919811	0.0570058640734	170.666790166
31.625	10	0.10737244553	2	0.2	0.00366497167989	10000	9829.22632384	0.0536862227649	170.666303715
31.75	10	0.101119789144	2	0.2	0.00345153886411	10000	9829.23303462	0.050559894572	170.665845594
31.875	10	0.0952312446806	2	0.2	0.00325053596272	10000	9829.2393546	0.0476156223403	170.665414152
32	10	0.0896856088834	2	0.2	0.00306123902855	10000	9829.24530656	0.0448428044417	170.665007835
32.125	10	0.0844629132068	2	0.2	0.0028829662848	10000	9829.25091191	0.0422314566034	170.66462518
32.25	10	0.0795443519169	2	0.2	0.00271507566792	10000	9829.25619084	0.0397721759585	170.664264809
32.375	10	0.0749122143806	2	0.2	0.00255696251369	10000	9829.26116236	0.0374561071903	170.663925424
32.5	10	0.070549821296	2	0.2	0.00240805737824	10000	9829.26584437	0.035274910648	170.663605804
32.625	10	0.0664414646373	2	0.2	0.00226782398611	10000	9829.27025374	0.0332207323187	170.663304797
32.75	10	0.0625723510957	2	0.2	0.00213575729781	10000	9829.27440633	0.0312861755479	170.663021319
32.875	10	0.0589285488145	2	0.2	0.0020113816901	10000	9829.2783171	0.0294642744072	170.662754349
33	10	0.0554969372248	2	0.2	0.00189424924231	10000	9829.28200014	0.0277484686124	170.662502927
33.125	10	0.0522651598036	2	0.2	0.00178393812251	10000	9829.28546869	0.0261325799018	170.662266145
33.25	10	0.0492215795812	2	0.2	0.00168005106771	10000	9829.28873527	0.0246107897906	170.662043153
33.375	10	0.0463552372408	2	0.2	0.00158221395269	10000	9829.29181162	0.0231776186204	170.661833147
33.5	10	0.0436558116573	2	0.2	0.00149007444217	10000	9829.29470882	0.0218279058287	170.66163537
33.625	10	0.041113582734	2	0.2	0.0014033007215	10000	9829.29743731	0.020556791367	170.661449111
33.75	10	0.0387193964033	2	0.2	0.0013215803014	10000	9829.30000691	0.0193596982017	170.661273698
33.875	10	0.0364646316658	2	0.2	0.00124461889223	10000	9829.30242687	0.0182323158329	170.661108501
34	10	0.0343411695482	2	0.2	0.00117213934392	10000	9829.30470591	0.0171705847741	170.660952923
34.125	10	0.0323413638695	2	0.2	0.00110388064764	10000	9829.30685223	0.0161706819347	170.660806406
34.25	10	0.0304580137086	2	0.2	0.00103959699565	10000	9829.30887357	0.0152290068543	170.660668421
34.375	10	0.0286843374762	2	0.2	0.000979056895876	10000	9829.31077719	0.0143421687381	170.660538471
34.5	10	0.027013948496	2	0.2	0.000922042338105	10000	9829.31256996	0.013506974248	170.660416089
34.625	10	0.0254408320072	2	0.2	0.000868348008762	10000	9829.31425833	0.0127204160036	170.660300834
34.75	10	0.0239593235079	2	0.2	0.000817780551399	10000	9829.31584839	0.0119796617539	170.66019229
34.875	10	0.0225640883576	2	0.2	0.000770157870279	10000	9829.31734584	0.0112820441788	170.660090068
35	10	0.021250102569	2	0.2	0.000725308474526	10000	9829.3187561	0.0106250512845	170.659993798
35.125	10	0.0200126347177	2	0.2	0.000683070860478	10000	9829.32008423	0.0100063173589	170.659903134
35.25	10	0.0188472289054	2	0.2	0.000643292930021	10000	9829.32133502	0.00942361445272	170.65981775
35.375	10	0.0177496887151	2	0.2	0.000605831442793	10000	9829.32251297	0.00887484435755	170.659737339
35.5	10	0.0167160621008	2	0.2	0.000570551500313	10000	9829.32362233	0.00835803105038	170.65966161
35.625	10	0.015742627157	2	0.2	0.000537326060144	10000	9829.32466708	0.0078713135785	170.659590291
35.75	10	0.0148258787172	2	0.2	0.000506035478358	10000	9829.325651	0.0074129393586	170.659523125
35.875	10	0.0139625157322	2	0.2	0.000476567078658	10000	9829.32657761	0.00698125786609	170.659459871
36	10	0.0131494293837	2	0.2	0.000448814746583	10000	9829.32745027	0.00657471469187	170.6594003
36.125	10	0.0123836918906	2	0.2	0.00042267854736	10000	9829.32827211	0.00619184594529	170.659344198
